Time (h),Air temperature1 (degC)
1,3.6
2,2.6
3,2.2
4,1.8
5,1.1
6,1.5
7,2.8
8,7.9
9,8.6
10,8.8
11,8.8
12,9.7
13,9.4
14,9.6
15,9.1
16,8.8
17,7.3
18,7.5
19,7.1
20,6.7
21,6.3
22,5.9
23,5.3
24,4.2
25,4.7
26,5
27,4.4
28,4
29,3.2
30,2.7
31,3.9
32,5.8
33,6.9
34,7.2
35,7.9
36,7.9
37,8
38,7.9
39,7.7
40,6.6
41,4.6
42,2.7
43,2
44,1.8
45,0.8
46,0.2
47,-0.6
48,-1.2
49,-1.6
50,-1.5
51,-0.9
52,-0.1
53,0.4
54,3.7
55,4.1
56,4.5
57,4.4
58,5.2
59,7
60,5.7
61,6.9
62,6.5
63,6.5
64,6.3
65,5.5
66,4.9
67,4.2
68,3.7
69,3.1
70,2.5
71,2.4
72,2.4
73,2.3
74,2.4
75,2
76,2.4
77,2.6
78,2.7
79,3
80,2.9
81,4
82,4.2
83,4.8
84,5.2
85,5.4
86,6
87,6
88,6.2
89,4.1
90,2.9
91,2.3
92,1.7
93,1.6
94,1.5
95,1.1
96,1.7
97,2.7
98,3.7
99,4
100,4.1
101,4.8
102,5.5
103,6.3
104,8.2
105,8.3
106,8.9
107,9
108,9.9
109,9.6
110,9.8
111,9.9
112,9.6
113,8.8
114,7.8
115,7.5
116,7.1
117,5.8
118,5.4
119,6
120,6.9
121,7.1
122,7.2
123,7.1
124,6.3
125,6.7
126,6.9
127,6.4
128,8.5
129,9.7
130,10.1
131,9.5
132,9.4
133,9.8
134,9.9
135,9.5
136,9.3
137,8.4
138,7.3
139,8
140,7.5
141,4.9
142,5
143,4.1
144,0.8
145,-0.3
146,-0.6
147,-0.7
148,-1.1
149,-1.1
150,0.1
151,1.2
152,3.6
153,4.9
154,5.8
155,6.2
156,6.6
157,6.7
158,6.6
159,6.5
160,5.9
161,2.6
162,0.7
163,-0.2
164,-1
165,-1.6
166,-2
167,-2.2
168,-2.4
169,-1.3
170,-0.5
171,-0.2
172,-0.4
173,1.2
174,1.6
175,2.6
176,4.1
177,5.4
178,5.8
179,5.5
180,5.7
181,7.2
182,7.5
183,7.9
184,8
185,7.9
186,7.5
187,6.2
188,6.1
189,6.5
190,5.8
191,4.9
192,4.8
193,3.8
194,5
195,5.6
196,5.8
197,6.9
198,7.3
199,8.2
200,9
201,9.6
202,1
203,10.3
204,10.7
205,10.7
206,10.7
207,10.7
208,10.8
209,10.8
210,10.8
211,10.7
212,10.4
213,10.3
214,10.1
215,10.2
216,10.4
217,9.6
218,9.3
219,9.1
220,9.3
221,9.4
222,8.9
223,9.2
224,9.1
225,9.9
226,9.9
227,10.2
228,10.2
229,9.9
230,9.6
231,9.6
232,8.5
233,7.4
234,7.6
235,6.1
236,6.1
237,5.7
238,5.4
239,6
240,6.3
241,6.5
242,7.1
243,7.7
244,7.8
245,7.8
246,8.8
247,9.5
248,10.2
249,11
250,12.1
251,12.7
252,12.5
253,12.1
254,11.8
255,11.4
256,11.4
257,11.1
258,11.2
259,11.5
260,11.4
261,10.9
262,10.9
263,10.5
264,10.3
265,10.5
266,10.6
267,10.1
268,10.2
269,10.2
270,10.3
271,10.9
272,11
273,11.2
274,11.7
275,12.3
276,13
277,13.3
278,13.6
279,13.4
280,12.6
281,11.6
282,11.3
283,10.8
284,11.1
285,11.7
286,11.6
287,11.4
288,11.4
289,11.3
290,11.2
291,11.1
292,10.9
293,11.1
294,11.2
295,11.5
296,11.9
297,12.2
298,13
299,13.8
300,14.7
301,15.8
302,16.4
303,16.1
304,15.2
305,15
306,14.8
307,15.1
308,15.7
309,16.4
310,16.2
311,15.5
312,15
313,15.4
314,15.7
315,15.2
316,14.5
317,14.7
318,14.5
319,14.5
320,15
321,15.9
322,16.9
323,17.6
324,18.8
325,18.4
326,17.6
327,16.5
328,14.7
329,13.9
330,13.4
331,13.1
332,12.9
333,13.2
334,13.5
335,13.2
336,12.7
337,12.3
338,12.1
339,12.2
340,12
341,11.7
342,11.4
343,11.3
344,11.5
345,11.9
346,12.3
347,11.8
348,11.7
349,11.6
350,11.7
351,11.5
352,11.4
353,11.2
354,10.7
355,10.3
356,10.3
357,10.4
358,10.5
359,10.4
360,10.2
361,9.8
362,9.2
363,8.3
364,8.1
365,8.1
366,7.9
367,7.6
368,8.1
369,8.7
370,9.6
371,9.9
372,10.1
373,9.6
374,1
375,9.6
376,8.9
377,7.7
378,6.3
379,5.2
380,4.4
381,3.8
382,3.6
383,3.7
384,3.2
385,2.9
386,3.2
387,3.9
388,4.9
389,5.3
390,5.9
391,6.5
392,7.1
393,7.4
394,8.4
395,9.5
396,10.2
397,10.3
398,10.3
399,10.4
400,10.4
401,10.4
402,10.9
403,11.1
404,11.4
405,11.4
406,11.2
407,11.2
408,10.6
409,10.2
410,9.9
411,9.5
412,9.5
413,9.1
414,8.4
415,8.9
416,8.9
417,9.2
418,9.4
419,9.7
420,9.7
421,9.8
422,9.7
423,9.7
424,9.4
425,9.5
426,9.6
427,9.8
428,9.5
429,9.3
430,8.9
431,8.7
432,8.5
433,8.5
434,8.3
435,8.2
436,8.1
437,8.1
438,8.3
439,8
440,8.2
441,8.5
442,8.8
443,9.1
444,9.2
445,9.3
446,9.3
447,9
448,8
449,6.7
450,5
451,3.9
452,3.7
453,3.6
454,3.7
455,3.7
456,3.5
457,3.1
458,3.8
459,4.1
460,4.1
461,3.8
462,3.8
463,4.2
464,5.2
465,6
466,7.9
